#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
2009,3210,120,Educador de Carrer,Retribucions basiques,,,16748.9,-22644.92,-5896.02,16749.04
2009,3210,121,Educador de Carrer,Retribuc. complementaries,,,17579.55,0,17579.55,17579.6
2009,3210,130,Educador de Carrer,Personal Laboral fixe,,,19837.98,0,19837.98,16351.17
2009,3210,131,Educador de Carrer,Personal Laboral eventual,,,85297.61,0,85297.61,63614.15
2009,3210,226,Educador de Carrer,Despeses diverses,,,5000,0,5000,4923.44
2009,3220,131,Escola Taller,Personal Laboral eventual,,,221158.26,-5643.2,215515.06,199890.17
2009,3220,226,Escola Taller,Despeses diverses,,,25000,5643.2,30643.2,30378.39
2009,3222,120,Ocupació,Retribucions basiques,,,0,0,0,3708.55
2009,3222,121,Ocupació,Retribuc. complementaries,,,0,0,0,1511.94
2009,3222,131,Ocupació,Personal Laboral eventual,,,67182.58,181939.98,249122.56,226643.24
2009,3222,202,Ocupació,Edificis i altres constru,,,15000,0,15000,16790.35
2009,3222,221,Ocupació,Subministres,,,1000,0,1000,0
2009,3222,226,Ocupació,Despeses diverses,,,6000,33384.11,39384.11,37663.82
2009,3222,481,Ocupació,"Premis, beques estudis",,,0,10800,10800,8056.8
2009,3222,623,Ocupació,"Maquinaria, Inst. i Utill",,,0,4140,4140,0
2009,3223,120,Promoció Econòmica,Retribucions basiques,,,44584.96,-24153.28,20431.68,34187.88
2009,3223,121,Promoció Econòmica,Retribuc. complementaries,,,50457.44,8441.6,58899.04,39533.66
2009,3223,226,Promoció Econòmica,Despeses diverses,,,11300,0,11300,4130.77
2009,3223,489,Promoció Econòmica,Altres transferencies,,,14000,-1400,12600,12600
2009,3224,226,Ocupació,Despeses diverses,,,2500,0,2500,1877.6
2009,3230,226,Pau i solidaritat:immigra,Despeses diverses,,,1000,3229,4229,3956.72
2009,3233,131,Prevenció Drogodependenc.,Personal Laboral eventual,,,28558.64,-28558.64,0,0
2009,3233,226,Prevenció Drogodependenc.,Despeses diverses,,,8000,0,8000,7712.84
2009,4110,221,Salut pública,Subministres,,,1000,0,1000,378.72
2009,4110,226,Salut pública,Despeses diverses,,,8300,10726.12,19026.12,19026.66
2009,4110,480,Salut pública,Atencions benef i asisten,,,50000,8618.38,58618.38,58499.84
2009,4120,120,Servei Mèdic,Retribucions basiques,,,38026.38,0,38026.38,38027.22
2009,4120,121,Servei Mèdic,Retribuc. complementaries,,,47886.64,0.84,47887.48,47886.64
2009,4131,227,Servei Recollida Gossos,Treballs altres empreses,,,9000,-4200,4800,4587.44
2009,4132,227,Desinfeccio i Desratitza.,Treballs altres empreses,,,20000,2040.49,22040.49,21162.21
2009,4134,130,Ciutats sanes,Personal Laboral fixe,,,14569.92,-1007.8,13562.12,13562.12
2009,4134,226,Ciutats sanes,Despeses diverses,,,2500,0,2500,2467
